,s.no,latitude,longitude,kelp_biomass_kg_2025,kelp_biomass_kg_past_2015,Temperature ,Salinity level,Ocean Current ,compass_score
151,151,37.11132814,-122.3026196,0,407,14.902,35.57,0.198,0.7086
152,152,37.11078534,-122.302287,0,219,13.241,33.935,0.153,0.6129
153,153,37.11105575,-122.3022845,0,277,13.859,34.436,0.107,0.6144
154,154,37.11132615,-122.302282,0,277,13.325,36.029,0.207,0.6939
155,155,37.11024253,-122.3019543,0,183,12.272,34.916,0.139,0.6116
156,156,37.11051294,-122.3019518,0,313,13.494,34.093,0.161,0.6258
157,157,37.11078335,-122.3019493,0,289,13.15,33.895,0.262,0.6646
158,158,37.10834769,-122.301634,0,219,18.36,34.676,0.142,0.7255
159,159,37.11051095,-122.3016142,0,376,12.494,35.046,0.151,0.6251
160,160,37.11078136,-122.3016117,0,347,13.165,34.393,0.141,0.6169
161,161,37.11050897,-122.3012765,0,317,13.059,34.596,0.186,0.6424
162,162,37.10861412,-122.3009563,0,259,15.162,32.677,0.144,0.6143
163,163,37.11023657,-122.3009414,0,259,12.869,34.081,0.224,0.6448
164,164,37.10834172,-122.3006212,0,195,12.781,35.808,0.238,0.6933
165,165,37.11023458,-122.3006038,0,361,13.27,32.396,0.199,0.598
166,166,37.10969177,-122.3002711,0,336,14.951,34.368,0.241,0.701
167,167,37.11023258,-122.3002661,0,273,13.472,34.866,0.279,0.7037
168,168,37.10697971,-122.2989455,0,288,10.894,34.841,0.195,0.6109
169,169,37.10725012,-122.298943,0,420,10.026,32.579,0.15,0.515
170,170,37.10752053,-122.2989405,0,332,18.247,35.295,0.281,0.8082
171,171,37.1064369,-122.2986129,0,273,16.645,33.338,0.221,0.6982
172,172,37.10670731,-122.2986104,0,420,16.488,34.54,0.252,0.7407
173,173,37.10697772,-122.2986079,0,371,16.307,34.458,0.153,0.6856
174,174,37.10724813,-122.2986054,0,383,17.281,34.599,0.226,0.7445
175,175,37.10751853,-122.2986029,0,289,15.814,36.014,0.224,0.7504
176,176,37.10724613,-122.2982678,0,219,16.627,34.897,0.234,0.7433
177,177,37.09935608,-122.2902381,0,273,16.239,35.202,0.172,0.7124
178,178,37.09881325,-122.2899056,0,273,13.386,34.177,0.253,0.6718
179,179,37.09908365,-122.2899031,0,361,12.715,34.19,0.129,0.597
180,180,37.09935406,-122.2899005,0,273,16.751,35.601,0.169,0.7308
181,181,37.09881122,-122.289568,0,273,10.986,35.808,0.112,0.5954
182,182,36.98524649,-122.1669113,1260,0,7.732,35.652,0.229,0.2367
183,183,36.97460053,-122.1528714,0,182,15.734,35.345,0.178,0.7091
184,184,36.97487094,-122.1528684,0,277,19.241,35.41,0.224,0.8019
185,185,36.97514134,-122.1528654,447,289,13.307,33.881,0.26,0.3163
186,186,36.97541174,-122.1528624,329,626,16.549,32.841,0.256,0.5174
187,187,36.97432772,-122.1525374,0,221,19.319,34.887,0.257,0.8069
188,188,36.97459813,-122.1525344,0,525,17.077,35.235,0.201,0.744
189,189,36.97486853,-122.1525314,0,289,15.319,34.021,0.179,0.6684
190,190,36.97513893,-122.1525284,0,254,19.077,34.419,0.204,0.764
191,191,36.97540934,-122.1525254,0,567,14.56,34.795,0.215,0.691
192,192,36.97567974,-122.1525224,0,596,15.077,34.177,0.224,0.6901
193,193,36.97432532,-122.1522004,0,270,16.186,34.733,0.162,0.6946
194,194,36.97459572,-122.1521974,0,1551,16.774,35.166,0.155,0.7134
195,195,36.97486612,-122.1521944,388,277,14.506,34.98,0.179,0.3266
196,196,36.97513653,-122.1521914,0,696,14.068,34.845,0.238,0.6942
197,197,36.97540693,-122.1521884,0,494,10.382,33.911,0.175,0.5677
198,198,36.97486372,-122.1518574,0,301,14.491,34.07,0.179,0.6536
199,199,36.97513412,-122.1518544,0,778,12.182,35.534,0.29,0.7008
200,200,36.9743205,-122.1515263,0,251,12.362,35.793,0.194,0.6628
201,201,36.9745909,-122.1515233,0,231,13.959,35.166,0.146,0.6541
202,202,36.97431568,-122.1508523,0,163,17.665,33.524,0.171,0.6976
203,203,36.97458608,-122.1508493,0,251,11.924,33.656,0.175,0.5913
204,204,36.97404287,-122.1505183,0,260,15.571,34.862,0.144,0.6769
205,205,36.97431327,-122.1505153,0,349,11.812,34.093,0.214,0.6196
206,206,36.97458367,-122.1505123,0,313,12.138,33.597,0.131,0.572
207,207,36.97485408,-122.1505093,0,289,14.748,34.093,0.177,0.6581
208,208,36.97349964,-122.1501873,0,280,15.897,33.812,0.266,0.718
209,209,36.97377005,-122.1501843,0,339,12.551,33.965,0.115,0.5812
210,210,36.97404045,-122.1501813,0,736,18.034,35.169,0.168,0.7444
211,211,36.97431086,-122.1501783,0,599,18.491,34.922,0.231,0.7787
212,212,36.97458126,-122.1501753,0,454,17.12,34.881,0.294,0.7825
213,213,36.97485167,-122.1501723,0,442,18.322,35.845,0.185,0.7754
214,214,36.97512207,-122.1501692,0,348,16.976,35.174,0.172,0.726
215,215,36.97349723,-122.1498503,0,550,10.245,33.112,0.228,0.5716
216,216,36.97376764,-122.1498473,0,687,15.358,34.938,0.211,0.7081
217,217,36.97403804,-122.1498443,0,746,14.378,34.794,0.222,0.691
218,218,36.97430844,-122.1498412,0,619,16.149,33.725,0.16,0.6677
219,219,36.97457885,-122.1498382,0,743,16.634,35.603,0.219,0.7536
220,220,36.97484925,-122.1498352,0,743,14.596,34.194,0.157,0.6477
221,221,36.97511966,-122.1498322,0,407,12.579,33.743,0.184,0.6107
222,222,36.97322441,-122.1495163,0,221,13.003,35.049,0.227,0.6731
223,223,36.97349482,-122.1495133,0,290,17.618,35.374,0.142,0.7285
224,224,36.97376522,-122.1495102,0,609,12.834,35.521,0.183,0.6596
225,225,36.97403563,-122.1495072,0,629,14.657,34.391,0.146,0.6483
226,226,36.97430603,-122.1495042,0,599,14.449,34.338,0.173,0.6565
227,227,36.97457644,-122.1495012,0,489,16.433,35.271,0.185,0.7244
228,228,36.97484684,-122.1494982,0,371,18.993,35.314,0.268,0.8167
229,229,36.97511724,-122.1494952,0,266,17.087,34.766,0.26,0.762
230,230,36.973222,-122.1491793,0,221,13.503,34.953,0.145,0.6394
231,231,36.9734924,-122.1491762,0,319,19.711,34.415,0.169,0.7587
232,232,36.97376281,-122.1491732,133,658,14.363,34.163,0.15,0.5682
233,233,36.97403321,-122.1491702,0,1046,14.67,35.423,0.301,0.7519
234,234,36.97430362,-122.1491672,0,590,17.495,33.214,0.187,0.6946
235,235,36.97457402,-122.1491642,0,489,13.061,35.936,0.158,0.6619
236,236,36.97484442,-122.1491612,0,383,13.218,34.069,0.147,0.6128
237,237,36.97348999,-122.1488392,0,280,17.031,35.007,0.22,0.7469
238,238,36.97376039,-122.1488362,0,997,12.38,33.351,0.265,0.6376
239,239,36.9740308,-122.1488332,0,629,17.332,33.834,0.062,0.6444
240,240,36.9743012,-122.1488302,0,349,16.572,33.831,0.207,0.7021
241,241,36.9745716,-122.1488272,0,454,15.201,33.779,0.132,0.6366
242,242,36.97484201,-122.1488242,0,336,11.864,36.059,0.223,0.6742
243,243,36.97511241,-122.1488212,0,277,12.886,34.317,0.212,0.645
244,244,36.97348757,-122.1485022,0,260,12.722,33.319,0.143,0.5824
245,245,36.97375798,-122.1484992,0,290,10.236,33.319,0.179,0.5521
246,246,36.97402838,-122.1484962,0,599,11.881,34.303,0.217,0.6276
247,247,36.97429878,-122.1484932,0,639,14.452,32.948,0.157,0.6138
248,248,36.97456919,-122.1484902,0,477,15.636,35.748,0.176,0.7163
249,249,36.97483959,-122.1484871,0,313,14.554,32.657,0.168,0.614
250,250,36.97511,-122.1484841,0,289,16.638,32.831,0.124,0.6368
251,251,36.9753804,-122.1484811,0,207,16.731,35.412,0.166,0.7242
252,252,36.97348515,-122.1481652,0,221,12.724,34.016,0.17,0.6134
253,253,36.97375556,-122.1481622,0,550,12.959,37.031,0.209,0.7128
254,254,36.97402596,-122.1481592,300,570,11.816,33.505,0.235,0.4312
255,255,36.97429637,-122.1481562,631,1114,14.372,34.265,0.177,0.4569
256,256,36.97456677,-122.1481531,586,599,15.695,34.599,0.218,0.3673
257,257,36.97483717,-122.1481501,0,221,15.461,35.802,0.189,0.7207
258,258,36.97510758,-122.1481471,0,348,11.418,33.557,0.179,0.581
259,259,36.97537798,-122.1481441,0,395,14.947,35.329,0.298,0.7534
260,260,36.97375314,-122.1478252,231,0,11.497,33.739,0.192,0.2436
261,261,36.97402354,-122.1478222,0,570,13.735,34.028,0.197,0.6468
262,262,36.97429395,-122.1478191,0,560,12.982,32.996,0.204,0.6099
263,263,36.97456435,-122.1478161,0,309,14.88,35.589,0.173,0.6961
264,264,36.97510516,-122.1478101,0,301,14.824,33.599,0.215,0.6663
265,265,36.97537556,-122.1478071,0,512,16.694,34.26,0.174,0.6987
266,266,36.97564597,-122.1478041,0,395,9.634,34.125,0.23,0.586
267,267,36.97402112,-122.1474851,0,452,15.825,35.135,0.174,0.7036
268,268,36.97429153,-122.1474821,0,300,18.172,33.486,0.219,0.7306
269,269,36.97456193,-122.1474791,0,195,16.374,34.804,0.165,0.7015
270,270,36.97510274,-122.1474731,0,348,15.484,33.6,0.239,0.6911
271,271,36.97537314,-122.1474701,0,837,24.242,33.313,0.231,0.8358
272,272,36.97564355,-122.147467,0,454,14.288,35.561,0.15,0.6724
273,273,36.97645476,-122.147458,143,0,13.822,32.623,0.177,0.2534
274,274,36.97672516,-122.147455,670,0,13.413,35.555,0.268,0.3642
275,275,36.97428911,-122.1471451,0,192,20.89,35.345,0.173,0.8069
276,276,36.97510032,-122.147136,0,313,14.728,36.06,0.285,0.7609
277,277,36.97537072,-122.147133,257,383,13.551,34.427,0.21,0.4249
278,278,36.97564113,-122.14713,0,324,14.674,36.668,0.365,0.8076
279,279,36.97672032,-122.1467809,237,430,15.098,34.726,0.218,0.5084
280,280,36.9767179,-122.1464439,133,277,16.473,34.402,0.174,0.5299
281,281,36.97101757,-122.1434743,0,192,11.72,33.519,0.252,0.6224
282,282,36.97128798,-122.1434712,0,172,19.034,34.22,0.248,0.7802
283,283,36.97101514,-122.1431373,0,241,5.808,33.324,0.205,0.4791
284,284,36.97371918,-122.1431069,181,0,17.511,35.798,0.163,0.3975
285,285,36.97398958,-122.1431039,172,0,10.243,35.908,0.293,0.3239
286,286,36.97425999,-122.1431009,202,0,11.959,36.516,0.082,0.267
287,287,36.97101271,-122.1428003,0,212,11.362,34.17,0.167,0.5892
288,288,36.97128311,-122.1427972,0,192,16.091,34.138,0.261,0.7274
289,289,36.97155351,-122.1427942,0,192,13.804,35.809,0.257,0.7227
290,290,36.97182392,-122.1427912,0,231,12.482,33.564,0.166,0.5954
291,291,36.97209432,-122.1427881,0,192,20.479,33.665,0.219,0.7799
292,292,36.97425755,-122.1427639,241,0,10.924,35.964,0.209,0.2966
293,293,36.97128068,-122.1424602,0,163,16.031,33.154,0.237,0.6896
294,294,36.97100784,-122.1421262,0,153,14.06,32.566,0.223,0.6296
295,295,36.970735,-122.1417923,251,0,12.745,35.437,0.245,0.3368
296,296,36.97019176,-122.1414614,251,0,16.585,34.322,0.256,0.3891
297,297,36.97018932,-122.1411244,290,0,17.14,35.877,0.173,0.3973
298,298,36.97045972,-122.1411213,300,0,17.44,32.459,0.205,0.3336
299,299,36.97289336,-122.141094,0,289,13.123,35.131,0.192,0.66
300,300,36.96991648,-122.1407904,0,192,18.27,34.313,0.168,0.7276
301,301,36.97018688,-122.1407874,309,0,12.402,33.657,0.176,0.2511
302,302,36.97045728,-122.1407843,309,153,16.557,33.494,0.192,0.3358
303,303,36.97289092,-122.140757,0,289,13.476,32.849,0.168,0.5978
304,304,36.96964363,-122.1404564,0,182,9.277,33.799,0.239,0.5754
305,305,36.96991404,-122.1404534,0,221,15.485,33.568,0.103,0.6224
306,306,36.97018444,-122.1404504,0,182,16.311,35.292,0.259,0.7595
307,307,36.97017956,-122.1397764,0,172,18.416,33.867,0.103,0.6868
308,308,36.96962898,-122.1384345,0,241,16.782,35.357,0.182,0.7318
309,309,36.96989938,-122.1384314,0,398,11.675,34.105,0.144,0.5822
310,310,36.97016978,-122.1384284,0,395,15.77,33.066,0.211,0.6693
311,311,36.96962653,-122.1380975,0,511,10.756,34.784,0.246,0.6323
312,312,36.96989693,-122.1380944,0,339,19.584,34.409,0.166,0.7546
313,313,36.97016734,-122.1380914,0,360,14.214,35.682,0.132,0.665
314,314,36.9647323,-122.1344456,0,241,17.44,35.235,0.282,0.7915
315,315,36.96445944,-122.1341117,0,202,13.818,33.446,0.184,0.6274
316,316,36.96472984,-122.1341086,0,300,14.573,34.381,0.224,0.6854
317,317,36.96418658,-122.1337778,0,202,15.996,35.651,0.229,0.7474
318,318,36.96445698,-122.1337747,0,482,13.694,35.099,0.247,0.6978
319,319,36.96472738,-122.1337717,0,550,13.251,34.254,0.082,0.5856
320,320,36.96499779,-122.1337686,0,309,16.684,34.352,0.267,0.7473
321,321,36.96526819,-122.1337655,0,182,15.908,34.751,0.225,0.7212
322,322,36.96391372,-122.1334439,0,182,16.012,34.507,0.246,0.7276
323,323,36.96418412,-122.1334408,0,241,19.072,34.132,0.186,0.7477
324,324,36.96445452,-122.1334377,0,231,11.598,35.007,0.254,0.6582
325,325,36.96472493,-122.1334347,0,501,13.881,33.512,0.219,0.6478
326,326,36.96499533,-122.1334316,0,319,15.93,35.49,0.309,0.7821
327,327,36.96526573,-122.1334285,0,300,14.778,34.258,0.229,0.6889
328,328,36.96391126,-122.1331069,0,221,15.645,35.575,0.181,0.7146
329,329,36.96418166,-122.1331038,0,163,14.184,34.641,0.046,0.5974
330,330,36.96445206,-122.1331008,0,153,12.094,33.98,0.115,0.5727
331,331,36.96472247,-122.1330977,0,182,10.856,33.78,0.233,0.6026
332,332,36.96281733,-122.1314343,0,266,9.853,35.412,0.251,0.6329
333,333,36.96254446,-122.1311004,0,277,12.026,36.505,0.2,0.677
334,334,36.96281486,-122.1310974,0,371,18.814,34.235,0.24,0.7723
335,335,36.96308527,-122.1310943,0,254,15.258,35.12,0.161,0.6857
336,336,36.96254199,-122.1307635,0,277,11.467,32.968,0.19,0.5727
337,337,36.9628124,-122.1307604,0,313,12.903,35.506,0.229,0.6836
338,338,36.9630828,-122.1307573,0,207,14.949,35.202,0.219,0.7108
339,339,36.9633532,-122.1307542,0,172,10.132,33.917,0.154,0.5525
340,340,36.96226912,-122.1304296,0,230,13.743,34.593,0.249,0.6871
341,341,36.96253953,-122.1304265,0,454,10.966,33.811,0.202,0.5901
342,342,36.96280993,-122.1304234,0,324,17.305,35.303,0.177,0.7381
343,343,36.96308033,-122.1304204,0,277,13.61,34.006,0.255,0.6728
344,344,36.96335074,-122.1304173,0,254,19.689,35.156,0.178,0.7813
345,345,36.96226665,-122.1300926,0,336,14.653,34.699,0.187,0.6764
346,346,36.96253706,-122.1300895,0,590,19.347,34.443,0.243,0.7893
347,347,36.96280746,-122.1300865,0,407,13.119,34.114,0.247,0.662
348,348,36.96307786,-122.1300834,0,383,18.008,33.906,0.122,0.6894
349,349,36.96334827,-122.1300803,0,301,16.406,36.247,0.241,0.7762
350,350,36.96442988,-122.130068,114,0,17.257,34.767,0.152,0.3613
351,351,36.96470028,-122.1300649,104,0,15.453,34.633,0.163,0.3284
352,352,36.96199378,-122.1297587,0,254,19.545,35.974,0.226,0.8229
353,353,36.96226419,-122.1297557,0,418,16.55,34.796,0.176,0.7103
354,354,36.96253459,-122.1297526,0,625,11.87,33.507,0.179,0.5885
355,355,36.96280499,-122.1297495,0,625,15.174,33.725,0.252,0.6947
356,356,36.96307539,-122.1297464,0,649,20.286,35.852,0.117,0.7798
357,357,36.9633458,-122.1297433,0,324,13.867,35.773,0.157,0.673
358,358,36.96442741,-122.129731,114,0,13.271,35.367,0.123,0.2843
359,359,36.96199131,-122.1294218,0,301,13.365,35.463,0.213,0.6835
360,360,36.96226171,-122.1294187,0,336,16.413,33.582,0.183,0.6807
361,361,36.96253212,-122.1294156,0,578,16.021,33.759,0.131,0.6516
362,362,36.96280252,-122.1294125,0,590,14.456,34.463,0.138,0.6422
363,363,36.96307292,-122.1294095,0,578,17.643,34.036,0.148,0.6985
364,364,36.96334333,-122.1294064,0,242,19.352,35.339,0.214,0.7973
365,365,36.96442494,-122.1293941,0,242,17.284,32.966,0.291,0.7363
